Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/140877,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,116,false,false,false,false,true,false,2017-10-25,2017-11-08,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/210577,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-17,2017-11-17,true,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/146092,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,132,false,false,false,false,true,false,2017-06-22,2017-10-23,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/140400,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-19,2017-11-19,true,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/215258,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,116,false,false,false,false,true,false,2017-10-19,2017-11-21,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/191032,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,131,false,false,false,false,true,false,2017-09-12,2017-09-12,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/126938,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,116,false,false,false,false,true,false,2017-10-31,2017-11-13,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/154377,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-09,2017-11-24,false,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",http://www.bomprecopecas.com.br/add-lista/id/6960,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,113,false,false,false,false,true,false,2017-11-12,2017-11-12,true,false
1,3,"Bompreço Auto Peças Goiânia, Aparecida de Goiânia e Anápolis. | BOMPREÇO AUTO PEÇAS",https://www.bomprecopecas.com.br/add-lista/id/16567,https://bomprecoautopecas.tomticket.com/chat/?ac=589568P16022016091940&id=EP09212,,14,115,false,false,false,false,true,false,2017-10-07,2017-11-06,false,false
