Page score,Page trust score,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
1,0,Editorial Revista Labmoda « Universo Fnac,http://www.universofnac.com.br/evento/editorial-revista-labmoda/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,22,137,false,true,false,false,false,false,2017-06-06,2017-09-22,false,false
1,0,The Oscars com o site Salada de Cinema / Mediador Vitor Antiquera « Universo Fnac,http://www.universofnac.com.br/evento/indicados-ao-oscar-2/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,158,false,true,false,false,false,false,2017-02-09,2017-11-08,false,false
1,0,pascoa « Universo Fnac,http://www.universofnac.com.br/?attachment_id=129312,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,23,12,false,true,false,false,false,false,2017-11-03,2017-11-03,false,false
1,0,Canto do Conto com Cia Burlesca « Universo Fnac,http://www.universofnac.com.br/evento/canto-do-conto-com-cia-burlesca/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%2BSAC,Sac,22,64,false,true,false,false,false,false,2017-11-24,2017-11-24,true,false
1,0,SergioRicardoGlauberRochaDeusDiaboTerradoSol « Universo Fnac,http://www.universofnac.com.br/?attachment_id=129286,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,23,12,false,true,false,false,false,false,2017-08-14,2017-11-13,false,false
1,0,Moça Lua e Outras Lendas « Universo Fnac,http://www.universofnac.com.br/evento/moca-lua-e-outras-lendas-5/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,44,false,true,false,false,false,false,2017-09-12,2017-11-13,false,false
1,0,OJogodaImitacao « Universo Fnac,http://www.universofnac.com.br/?attachment_id=136565,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%2BSAC,Sac,20,14,false,true,false,false,false,false,2017-11-24,2017-11-24,true,false
1,0,Eventos para 29 junho 2017 « Universo Fnac,http://www.universofnac.com.br/calendario/2017-06-29?eventDate=2017-06-29&eventDisplay=day&post_type=tribe_events,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,25,50,false,true,false,false,false,false,2017-09-17,2017-11-03,false,false
1,0,tia may « Universo Fnac,http://www.universofnac.com.br/?attachment_id=129365,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,23,12,false,true,false,false,false,false,2017-10-12,2017-11-13,false,false
1,0,Betel Ao Vivo – Renascer Praise XX « Universo Fnac,http://www.universofnac.com.br/evento/betel-ao-vivo-renascer-praise-xx/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,44,false,true,false,false,false,false,2017-09-03,2017-10-02,false,false
1,0,#XboxOne | Festa de lançamento do novo console acontece nesta quinta (21) na Fnac Paulista « Universo Fnac,http://www.universofnac.com.br/fnac/xboxone-festa-de-lancamento-do-novo-console-acontece-nesta-quinta-21-na-fnac-paulista-confira/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,18,26,false,true,false,false,false,false,2017-02-02,2017-11-19,false,true
1,0,Autenticidade Consciencial « Universo Fnac,http://www.universofnac.com.br/evento/autenticidade-consciencial/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,22,141,false,true,false,false,false,false,2017-05-25,2017-10-29,false,false
1,0,Encontro UREV « Universo Fnac,http://www.universofnac.com.br/evento/encontro-urev/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,16,185,false,true,false,false,false,false,2017-07-21,2017-11-03,false,false
1,0,Eventos para 30 março 2017 « Universo Fnac,http://www.universofnac.com.br/calendario/2017-03-30/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,22,41,false,true,false,false,false,false,2017-10-19,2017-11-02,false,false
1,0,00 Capa « Universo Fnac,http://www.universofnac.com.br/?attachment_id=130498,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,23,12,false,true,false,false,false,false,2017-08-09,2017-11-08,false,false
1,0,Eventos para 21 agosto 2016 « Universo Fnac,http://www.universofnac.com.br/calendario/2016-08-21?eventDate=2016-08-21&eventDisplay=day&post_type=tribe_events,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,15,20,false,true,false,false,false,false,2017-09-17,2017-11-19,false,true
1,0,Eventos para 22 novembro 2013 « Universo Fnac,http://www.universofnac.com.br/calendario/2013-11-22/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,38,72,false,true,false,false,false,false,2017-08-29,2017-10-29,false,false
1,0,Nando Monteiro « Universo Fnac,http://www.universofnac.com.br/evento/nando-monteiro-2/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%2BSAC,Sac,22,65,false,true,false,false,false,false,2017-11-24,2017-11-24,true,false
1,0,10 mães da cultura pop « Universo Fnac,http://www.universofnac.com.br/fnac/10-maes-da-cultura-pop/,http://fnac.neoassist.com/?action=answer&cat=200193&id=467785&match_number=2&question=Contato%20SAC,Sac,31,33,false,true,false,false,false,false,2017-07-26,2017-10-23,false,false
